symbol,company,trades,net_pnl,avg_trade_return,win_rate
AAPL,Apple Inc.,12,2.7100219726563637,-0.018622386989955626,50.0
ABBV,AbbVie Inc.,14,-11.139968872070341,-0.3531683608701019,28.57142857142857
ABT,Abbott Laboratories,16,-14.190040588378992,-0.6304123200841457,31.25
ACN,Accenture plc,17,-21.57009887695338,-0.02564448349131876,29.411764705882355
ADBE,Adobe Inc.,14,13.560119628906364,0.8751480671136458,42.857142857142854
AMD,Advanced Micro Devices Inc.,12,41.87001037597656,4.289845108749702,58.333333333333336
AMZN,Amazon.com Inc.,14,-7.070053100585852,-0.006564817717405929,28.57142857142857
AVGO,Broadcom Inc.,11,-11.410018920898494,2.220508906265411,27.27272727272727
BA,Boeing Company,16,-33.52000427246091,-0.5780026601658549,37.5
CAT,Caterpillar Inc.,11,96.48995971679688,3.506686448774937,36.36363636363637
CMCSA,Comcast Corporation,19,-11.10000228881836,-1.5355434077813346,36.84210526315789
COST,Costco Wholesale Corporation,15,243.98010253906227,1.7483509602126013,53.333333333333336
CRM,Salesforce Inc.,13,42.34007263183594,1.0366279845687048,46.15384615384615
CSCO,Cisco Systems Inc.,18,-12.73000717163086,-1.0579145945295112,38.88888888888889
CVX,Chevron Corporation,16,-32.950042724609375,-1.2337970153096802,37.5
DHR,Danaher Corporation,15,-42.169952392578296,-1.280656734161146,33.33333333333333
DIS,Walt Disney Company,16,33.42001342773426,2.494448327479564,37.5
GE,General Electric Company,11,35.599960327148494,1.9302305554044894,45.45454545454545
GOOGL,Alphabet Inc. Class A,13,-11.309967041015511,-0.4945266904672984,30.76923076923077
HD,Home Depot Inc.,14,77.9600830078125,1.4632860020463276,50.0
HON,Honeywell International Inc.,16,-14.340026855468835,-0.41759990183118656,31.25
IBM,International Business Machines Corporation,12,135.95005798339864,4.86163663033951,58.333333333333336
INTC,Intel Corporation,15,-6.040000915527344,-1.6406531829575086,40.0
JNJ,Johnson & Johnson,11,23.360015869140625,1.47109043749965,36.36363636363637
JPM,JPMorgan Chase & Co.,11,16.32005310058588,0.5801289054703501,45.45454545454545
KO,Coca-Cola Company,15,-4.339996337890625,-0.3124802679915233,40.0
LLY,Eli Lilly and Company,17,-316.8499755859375,-2.1657115808223777,29.411764705882355
MA,Mastercard Incorporated,23,-166.43975830078125,-1.268799908214842,21.73913043478261
MCD,McDonald's Corporation,16,-104.46005249023438,-2.066851164656161,18.75
META,Meta Platforms Inc.,15,111.5799560546875,1.4880381113335723,53.333333333333336
MRK,Merck & Co. Inc.,17,-10.72998809814456,-0.8315314921029315,35.294117647058826
MSFT,Microsoft Corporation,12,51.570007324218636,1.1589198726483918,50.0
NFLX,Netflix Inc.,12,93.45007324218727,1.3392807449344062,33.33333333333333
NKE,NIKE Inc.,12,-11.919975280761719,-0.7661161398686037,33.33333333333333
NVDA,NVIDIA Corporation,13,24.769989013671932,2.6333370883665905,23.076923076923077
ORCL,Oracle Corporation,13,118.64999389648438,6.070908262631562,53.84615384615385
PEP,PepsiCo Inc.,13,-10.510009765625,-0.47166827996311544,38.46153846153847
PG,Procter & Gamble Company,14,-16.590042114257812,-0.6778711428171158,35.714285714285715
PM,Philip Morris International Inc.,17,-60.88002014160156,-1.850170283721972,23.52941176470588
QCOM,QUALCOMM Incorporated,14,-51.090011596679744,-2.083673248175631,50.0
TMO,Thermo Fisher Scientific Inc.,17,-50.050048828125,-0.6244559837263681,23.52941176470588
TSLA,Tesla Inc.,13,111.23992919921875,3.561469389426248,30.76923076923077
TXN,Texas Instruments Incorporated,11,5.629959106445142,0.728539415182161,27.27272727272727
UNH,UnitedHealth Group Incorporated,15,66.51992797851562,2.2083622312037137,46.666666666666664
UPS,United Parcel Service Inc.,18,-33.889976501464844,-1.5149529573396006,38.88888888888889
V,Visa Inc.,16,-24.09002685546875,-0.3462984441160292,25.0
VZ,Verizon Communications Inc.,14,-11.059993743896484,-1.7088152410756514,21.428571428571427
WMT,Walmart Inc.,15,-2.0500030517578267,-0.040834243414625486,40.0
XOM,Exxon Mobil Corporation,20,-40.16001129150388,-1.746563507375079,25.0
